frame,label,xmin,ymin,xmax,ymax,scaled_xmin,scaled_ymin,scaled_xmax,scaled_ymax,distance,Speed
12,car,988,331,1027,355,639.1125,114.93055555555554,664.340625,123.2638888888889,38.41784286499024,5.9479914
13,car,989,330,1028,355,639.7593750000001,114.58333333333334,664.9875,123.2638888888889,38.5396614074707,6.371807
30,car,1023,334,1064,364,661.7531250000001,115.9722222222222,688.2750000000001,126.38888888888889,34.41215515136719,8.948593
34,car,1030,341,1075,365,666.28125,118.4027777777778,695.390625,126.73611111111111,33.004085540771484,6.8768854
35,car,1034,345,1072,369,668.8687500000001,119.79166666666666,693.45,128.125,31.56435203552246,6.576232
39,car,1040,347,1080,370,672.75,120.48611111111111,698.625,128.47222222222223,30.785400390625,6.409594
40,car,1043,347,1083,374,674.690625,120.48611111111111,700.5656250000001,129.86111111111111,28.83737564086914,6.2954054
44,car,1053,353,1091,379,681.1593750000001,122.56944444444444,705.740625,131.59722222222223,26.419517517089844,8.750368
46,car,1053,351,1095,380,681.1593750000001,121.875,708.328125,131.94444444444446,25.61286163330078,7.888492
49,car,1055,355,1098,383,682.453125,123.2638888888889,710.2687500000001,132.98611111111111,24.493209838867188,6.8073483
59,car,1081,369,1116,399,699.2718749999999,128.125,721.9125,138.54166666666669,21.35270881652832,6.1031427
60,car,1075,372,1118,399,695.390625,129.16666666666666,723.20625,138.54166666666669,21.39267921447754,6.1011505
62,car,1084,373,1121,401,701.2125,129.51388888888889,725.146875,139.23611111111111,21.057861328125,6.530347
63,car,1086,375,1126,404,702.50625,130.20833333333334,728.3812499999999,140.27777777777777,20.32002067565918,8.0702715
65,car,1090,374,1129,403,705.09375,129.86111111111111,730.321875,139.93055555555557,20.51743698120117,8.15836
66,car,1091,374,1131,405,705.740625,129.86111111111111,731.615625,140.625,19.980470657348636,6.1573915
67,car,1091,376,1130,407,705.740625,130.55555555555554,730.96875,141.31944444444443,19.554975509643555,7.3216286
68,car,1091,378,1131,408,705.740625,131.25,731.615625,141.66666666666666,19.420658111572266,7.211275
69,car,1094,378,1135,409,707.6812500000001,131.25,734.203125,142.01388888888889,19.11937141418457,6.7045817
70,car,1094,377,1134,409,707.6812500000001,130.90277777777777,733.55625,142.01388888888889,19.046525955200195,6.47132
71,car,1095,380,1136,412,708.328125,131.94444444444446,734.85,143.05555555555554,18.394651412963867,7.397501
72,car,1099,382,1137,411,710.915625,132.63888888888889,735.4968749999999,142.70833333333331,18.64984893798828,6.2988915
73,car,1097,382,1139,412,709.621875,132.63888888888889,736.7906250000001,143.05555555555554,18.508575439453125,6.438963
74,car,1100,379,1143,413,711.5625,131.59722222222223,739.3781250000001,143.40277777777777,18.0607967376709,7.4165297
75,car,1103,383,1145,414,713.503125,132.98611111111111,740.671875,143.75,17.94661521911621,6.9119854
76,car,1103,383,1147,415,713.503125,132.98611111111111,741.965625,144.09722222222223,17.70033836364746,5.9532843
77,car,1104,384,1150,417,714.15,133.33333333333334,743.90625,144.79166666666669,17.183429718017578,6.9837475
78,car,1108,384,1152,417,716.7375,133.33333333333334,745.1999999999999,144.79166666666669,17.166236877441406,7.196141
79,car,1109,383,1152,417,717.3843750000001,132.98611111111111,745.1999999999999,144.79166666666669,17.06551742553711,7.4634075
80,car,1112,381,1155,417,719.325,132.29166666666669,747.140625,144.79166666666669,16.91539192199707,7.248818
81,car,1112,381,1157,419,719.325,132.29166666666669,748.434375,145.48611111111111,16.442062377929688,7.476696
82,car,1112,381,1157,420,719.325,132.29166666666669,748.434375,145.83333333333334,16.279651641845703,6.460952
83,car,1113,378,1161,420,719.9718750000001,131.25,751.021875,145.83333333333334,16.182723999023438,6.4359636
84,car,1117,376,1163,421,722.559375,130.55555555555554,752.315625,146.18055555555557,15.836090087890623,5.9118094
85,car,1118,376,1165,421,723.20625,130.55555555555554,753.609375,146.18055555555557,15.854411125183104,6.8090763
86,car,1120,383,1170,421,724.5,132.98611111111111,756.84375,146.18055555555557,16.266529083251953,7.6885896
87,car,1122,385,1173,422,725.7937499999999,133.68055555555554,758.7843750000001,146.52777777777777,16.21255874633789,8.817265
88,car,1124,385,1171,422,727.0875000000001,133.68055555555554,757.4906249999999,146.52777777777777,16.129655838012695,8.246981
89,car,1128,385,1177,423,729.6750000000001,133.68055555555554,761.371875,146.875,15.992602348327637,9.406996
90,car,1080,377,1123,405,698.625,130.90277777777777,726.440625,140.625,20.13091468811035,8.9133835
90,car,1131,387,1179,424,731.615625,134.375,762.665625,147.22222222222223,15.90064525604248,8.9133835
91,car,1083,377,1122,404,700.5656250000001,130.90277777777777,725.7937499999999,140.27777777777777,20.470441818237305,8.720968
91,car,1133,386,1182,425,732.909375,134.02777777777777,764.6062499999999,147.56944444444446,15.699223518371582,8.720968
92,car,1133,385,1185,426,732.909375,133.68055555555554,766.546875,147.91666666666666,15.537466049194336,8.028435
93,car,1133,385,1187,427,732.909375,133.68055555555554,767.840625,148.26388888888889,15.40718936920166,7.6125793
