frame,label,xmin,ymin,xmax,ymax,scaled_xmin,scaled_ymin,scaled_xmax,scaled_ymax,distance,Speed
1,car,1060,681,1098,706,685.6875,236.4583333333333,710.2687500000001,245.13888888888889,172.9659423828125,5.2406297
1,car,882,680,934,723,570.5437499999999,236.11111111111111,604.18125,251.04166666666663,101.74937438964844,5.2406297
1,car,1147,680,1227,726,741.965625,236.11111111111111,793.7156249999999,252.0833333333333,101.88102722167967,5.2406297
1,car,25,617,666,946,16.171875,214.23611111111111,430.81875,328.47222222222223,7.458077430725098,5.2406297
1,car,1363,634,1773,864,881.690625,220.13888888888889,1146.909375,300.0,14.155369758605955,5.2406297
1,car,574,626,790,806,371.30625,217.36111111111111,511.03125,279.86111111111114,24.63917732238769,5.2406297
2,car,1060,681,1098,706,685.6875,236.4583333333333,710.2687500000001,245.13888888888889,172.9659423828125,5.2406297
2,car,882,681,934,723,570.5437499999999,236.4583333333333,604.18125,251.04166666666663,103.30581665039062,5.2406297
2,car,1147,680,1227,726,741.965625,236.11111111111111,793.7156249999999,252.0833333333333,101.88102722167967,5.2406297
2,car,25,617,666,946,16.171875,214.23611111111111,430.81875,328.47222222222223,7.458077430725098,5.2406297
2,car,1362,634,1773,863,881.0437499999999,220.13888888888889,1146.909375,299.65277777777777,14.20992374420166,5.2406297
2,car,575,626,790,806,371.953125,217.36111111111111,511.03125,279.86111111111114,24.6407527923584,5.2406297
3,car,1146,682,1232,725,741.31875,236.8055555555556,796.95,251.73611111111111,109.0678253173828,11.554329
3,car,0,627,632,952,0.0,217.7083333333333,408.825,330.5555555555556,7.224625587463379,11.554329
3,car,559,624,786,811,361.603125,216.66666666666663,508.44375,281.59722222222223,23.706317901611328,11.554329
3,car,1383,628,1819,878,894.6281250000001,218.0555555555556,1176.665625,304.86111111111114,12.918923377990724,11.554329
4,car,1151,680,1229,726,744.553125,236.11111111111111,795.0093750000001,252.0833333333333,101.72241973876952,11.554329
4,car,0,622,625,945,0.0,215.97222222222223,404.296875,328.125,7.76473331451416,11.554329
4,car,1401,626,1859,884,906.271875,217.36111111111111,1202.540625,306.94444444444446,12.208104133605955,11.554329
4,car,555,620,790,817,359.015625,215.27777777777777,511.03125,283.6805555555556,22.589468002319336,11.554329
5,car,1153,681,1236,725,745.846875,236.4583333333333,799.5375,251.73611111111111,106.83018493652344,11.59627
5,car,0,617,618,947,0.0,214.23611111111111,399.76875,328.81944444444446,7.681221961975098,11.59627
5,car,1419,618,1882,889,917.915625,214.5833333333333,1217.41875,308.68055555555554,11.772625923156738,11.59627
5,car,550,616,789,818,355.78125,213.8888888888889,510.384375,284.02777777777777,22.33621406555176,11.59627
6,car,1158,679,1238,725,749.0812500000001,235.76388888888889,800.83125,251.73611111111111,102.77411651611328,11.59627
6,car,0,612,604,958,0.0,212.5,390.7125,332.6388888888889,6.582303047180176,11.59627
6,car,1428,614,1920,900,923.7375,213.19444444444449,1242.0,312.5,10.73936939239502,11.59627
6,car,540,613,785,821,349.3125,212.8472222222222,507.796875,285.06944444444446,21.74169540405273,11.59627
7,car,1163,681,1240,725,752.315625,236.4583333333333,802.125,251.73611111111111,106.3988265991211,9.694787
7,car,4,608,596,965,2.5875,211.11111111111111,385.5375,335.06944444444446,5.669857978820801,9.694787
7,car,1436,604,1917,913,928.9125,209.7222222222222,1240.059375,317.01388888888886,10.058362007141112,9.694787
7,car,529,611,781,822,342.196875,212.1527777777778,505.209375,285.41666666666663,21.511207580566406,9.694787
8,car,1162,682,1242,725,751.66875,236.8055555555556,803.4187499999999,251.73611111111111,108.33119201660156,9.057072
8,car,11,611,589,968,7.115625,212.1527777777778,381.009375,336.1111111111111,5.300511360168457,9.057072
8,car,517,615,782,820,334.43437500000005,213.54166666666663,505.85625,284.72222222222223,21.911577224731445,9.057072
8,car,1462,605,1920,918,945.73125,210.06944444444449,1242.0,318.75,9.877556800842283,9.057072
9,car,1163,680,1247,724,752.315625,236.11111111111111,806.653125,251.38888888888889,107.54431915283205,9.057072
9,car,0,592,580,996,0.0,205.5555555555556,375.1875,345.83333333333337,1.9968841075897217,9.057072
9,car,508,607,775,821,328.6125,210.76388888888889,501.328125,285.06944444444446,21.585771560668945,9.057072
9,car,1491,605,1920,923,964.490625,210.06944444444449,1242.0,320.4861111111111,9.336979866027832,9.057072
10,car,893,674,947,719,577.659375,234.0277777777778,612.590625,249.65277777777777,105.4726104736328,7.8136196
10,car,1162,680,1252,726,751.66875,236.11111111111111,809.8875,252.0833333333333,101.140625,7.8136196
10,car,0,594,572,1016,0.0,206.25000000000003,370.0125,352.77777777777777,-0.1278106868267059,7.8136196
10,car,1514,600,1920,932,979.36875,208.3333333333333,1242.0,323.6111111111111,8.235054969787598,7.8136196
10,car,501,603,767,821,324.084375,209.375,496.153125,285.06944444444446,21.56916046142578,7.8136196
11,car,1169,678,1252,726,756.1968750000001,235.41666666666663,809.8875,252.0833333333333,97.24585723876952,7.58052
11,car,1535,590,1920,958,992.953125,204.86111111111111,1242.0,332.6388888888889,5.484536170959473,7.58052
11,car,0,592,558,1036,0.0,205.5555555555556,360.95625,359.72222222222223,-2.3834145069122314,7.58052
11,car,485,603,765,825,313.734375,209.375,494.859375,286.4583333333333,20.83424186706543,7.58052
12,human,792,670,821,732,512.3249999999999,232.63888888888889,531.084375,254.16666666666669,81.50595092773438,7.900153
12,car,1172,677,1254,726,758.1375,235.06944444444449,811.18125,252.0833333333333,95.42520141601562,7.900153
12,car,1551,587,1920,960,1003.303125,203.81944444444443,1242.0,333.3333333333333,5.13216495513916,7.900153
12,car,6,586,532,1036,3.88125,203.47222222222223,344.13750000000005,359.72222222222223,-2.740042924880981,7.900153
12,car,462,601,772,826,298.85625,208.6805555555556,499.3875000000001,286.80555555555554,20.55856132507324,7.900153
13,car,1170,677,1257,726,756.84375,235.06944444444449,813.1218749999999,252.0833333333333,95.4399871826172,5.6959176
13,car,1594,572,1920,1005,1031.11875,198.61111111111111,1242.0,348.9583333333333,0.3368156254291534,5.6959176
13,car,0,589,511,1037,0.0,204.51388888888889,330.553125,360.0694444444444,-2.945513963699341,5.6959176
13,car,455,599,765,828,294.328125,207.9861111111111,494.859375,287.5,20.20577812194824,5.6959176
14,human,793,666,820,732,512.971875,231.25,530.4375,254.16666666666669,79.1174545288086,5.6959176
14,car,896,673,952,718,579.6,233.6805555555556,615.825,249.3055555555556,107.22376251220705,5.6959176
14,car,1172,678,1258,727,758.1375,235.41666666666663,813.76875,252.4305555555556,94.4576644897461,5.6959176
14,car,1627,579,1920,972,1052.465625,201.04166666666663,1242.0,337.5,3.2867095470428467,5.6959176
14,car,0,577,504,1032,0.0,200.3472222222222,326.02500000000003,358.33333333333337,-2.674224138259888,5.6959176
14,car,432,598,760,837,279.45,207.63888888888889,491.625,290.625,18.615524291992188,5.6959176
15,human,793,661,822,733,512.971875,229.51388888888889,531.7312499999999,254.51388888888889,72.33975982666016,5.044203
15,car,897,678,951,719,580.2468749999999,235.41666666666663,615.178125,249.65277777777777,111.8063735961914,5.044203
15,car,1178,678,1260,727,762.01875,235.41666666666663,815.0625,252.4305555555556,94.29913330078124,5.044203
15,car,1669,573,1920,967,1079.634375,198.9583333333333,1242.0,335.7638888888889,3.2870681285858154,5.044203
15,car,0,571,482,999,0.0,198.26388888888889,311.79375,346.875,0.5655791759490967,5.044203
15,car,420,596,752,837,271.6875,206.94444444444443,486.45,290.625,18.57139587402344,5.044203
16,human,795,660,822,733,514.265625,229.16666666666669,531.7312499999999,254.51388888888889,71.95264434814453,6.7145357
16,car,900,677,954,718,582.1875,235.06944444444449,617.11875,249.3055555555556,113.56320190429688,6.7145357
16,car,1176,678,1261,724,760.725,235.41666666666663,815.7093749999999,251.38888888888889,103.02960968017578,6.7145357
16,car,0,563,462,1013,0.0,195.4861111111111,298.85625,351.73611111111114,-0.8780205249786377,6.7145357
16,car,406,597,750,841,262.63125,207.29166666666669,485.15625,292.01388888888886,17.84374237060547,6.7145357
16,car,1712,574,1920,971,1107.45,199.3055555555556,1242.0,337.15277777777777,2.496708631515503,6.7145357
17,car,901,677,955,717,582.834375,235.06944444444449,617.765625,248.9583333333333,116.8532485961914,7.863204
17,car,1181,678,1267,724,763.959375,235.41666666666663,819.590625,251.38888888888889,102.7623291015625,7.863204
17,car,0,566,432,1015,0.0,196.52777777777777,279.45,352.43055555555554,-1.3183205127716064,7.863204
17,car,392,600,744,840,253.575,208.3333333333333,481.275,291.6666666666667,17.929492950439453,7.863204
17,car,1757,597,1914,980,1136.559375,207.29166666666669,1238.11875,340.27777777777777,2.2124640941619877,7.863204
18,car,901,678,955,718,582.834375,235.41666666666663,617.765625,249.3055555555556,115.15775299072266,8.221074
18,car,1182,677,1269,725,764.6062499999999,235.06944444444449,820.884375,251.73611111111111,97.62232971191406,8.221074
18,car,0,561,407,1019,0.0,194.79166666666669,263.278125,353.81944444444446,-1.9265587329864504,8.221074
18,car,370,589,746,851,239.34375,204.51388888888889,482.56875,295.48611111111114,16.328994750976562,8.221074
18,car,1812,635,1920,997,1172.1375,220.4861111111111,1242.0,346.18055555555554,-0.4739525020122528,8.221074
19,car,1870,668,1920,994,1209.65625,231.94444444444443,1242.0,345.1388888888889,-3.001845598220825,8.221074
19,human,744,652,775,737,481.275,226.3888888888889,501.328125,255.9027777777778,61.44330978393555,8.221074
19,car,899,674,958,718,581.540625,234.0277777777778,619.70625,249.3055555555556,108.9173583984375,8.221074
19,car,1182,678,1272,725,764.6062499999999,235.41666666666663,822.8249999999999,251.73611111111111,99.50382232666016,8.221074
19,car,0,558,371,1035,0.0,193.75000000000003,239.990625,359.375,-3.928706407546997,8.221074
19,car,346,596,737,850,223.81875,206.94444444444443,476.746875,295.1388888888889,16.18061065673828,8.221074
20,human,746,651,775,737,482.56875,226.04166666666663,501.328125,255.9027777777778,60.73339080810547,10.107072
20,human,717,646,742,735,463.809375,224.3055555555556,479.9812500000001,255.2083333333333,61.38911437988281,10.107072
20,car,900,672,959,718,582.1875,233.3333333333333,620.353125,249.3055555555556,105.78958892822266,10.107072
20,car,1190,678,1272,726,769.78125,235.41666666666663,822.8249999999999,252.0833333333333,96.39019012451172,10.107072
20,car,1,551,343,1015,0.646875,191.31944444444449,221.878125,352.43055555555554,-1.9718544483184812,10.107072
20,car,322,591,730,854,208.29375,205.2083333333333,472.21875,296.52777777777777,15.789097785949709,10.107072
21,human,745,656,773,733,481.921875,227.77777777777777,500.034375,254.51388888888889,71.0325698852539,10.107072
21,car,900,673,960,718,582.1875,233.6805555555556,621.0,249.3055555555556,107.3830795288086,10.107072
21,car,1196,678,1275,725,773.6625,235.41666666666663,824.765625,251.73611111111111,98.93346405029295,10.107072
21,car,3,539,319,1069,1.940625,187.15277777777777,206.353125,371.18055555555554,-7.942160606384277,10.107072
21,car,297,587,724,857,192.121875,203.81944444444443,468.3375,297.56944444444446,15.436562538146973,10.107072
22,human,710,651,740,733,459.28125,226.04166666666663,478.6875,254.51388888888889,69.84088897705078,11.03257
22,human,743,653,770,732,480.628125,226.73611111111111,498.09375,254.16666666666669,71.3107681274414,11.03257
22,car,900,673,959,718,582.1875,233.6805555555556,620.353125,249.3055555555556,107.36370086669922,11.03257
22,car,1191,675,1275,726,770.428125,234.375,824.765625,252.0833333333333,91.46794891357422,11.03257
22,car,5,547,278,1066,3.234375,189.9305555555556,179.83125,370.1388888888889,-7.907729148864746,11.03257
22,car,278,582,716,872,179.83125,202.0833333333333,463.1625,302.77777777777777,14.31704044342041,11.03257
23,human,742,650,772,732,479.9812500000001,225.69444444444449,499.3875000000001,254.16666666666669,70.25527954101562,11.351506
23,car,900,672,960,717,582.1875,233.3333333333333,621.0,248.9583333333333,109.0785675048828,11.351506
23,car,230,574,722,882,148.78125,199.3055555555556,467.04375,306.25,13.184308052062988,11.351506
23,car,1195,675,1278,726,773.015625,234.375,826.7062500000001,252.0833333333333,91.38094329833984,11.351506
23,car,2,551,230,1058,1.29375,191.31944444444449,148.78125,367.3611111111111,-7.046072959899902,11.351506
24,human,740,650,771,733,478.6875,225.69444444444449,498.740625,254.51388888888889,68.47998046875,11.863911
24,car,903,677,960,719,584.1281250000001,235.06944444444449,621.0,249.65277777777777,110.4130859375,11.863911
24,car,1194,675,1276,727,772.36875,234.375,825.4124999999999,252.4305555555556,89.49534606933594,11.863911
24,car,0,561,183,1042,0.0,194.79166666666669,118.378125,361.80555555555554,-5.393912315368652,11.863911
24,car,206,571,715,881,133.25625,198.26388888888889,462.515625,305.90277777777777,13.09388828277588,11.863911
25,human,741,652,770,732,479.334375,226.3888888888889,498.09375,254.16666666666669,71.19485473632812,12.714886
25,car,0,615,137,935,0.0,213.54166666666663,88.62187499999999,324.65277777777777,5.493393898010254,12.714886
