frame,label,xmin,ymin,xmax,ymax,scaled_xmin,scaled_ymin,scaled_xmax,scaled_ymax,distance,Speed
1,car,717,712,796,793,463.809375,247.2222222222222,514.9125,275.34722222222223,105.27779388427734,10.626967
1,car,6,673,317,820,3.88125,233.6805555555556,205.059375,284.72222222222223,66.92601776123047,10.626967
1,car,1683,722,1883,883,1088.690625,250.69444444444443,1218.065625,306.59722222222223,26.73510360717773,10.626967
1,car,1453,750,1594,837,939.909375,260.4166666666667,1031.11875,290.625,55.09918594360352,10.626967
1,car,602,709,750,814,389.41875,246.1805555555556,485.15625,282.63888888888886,71.1834945678711,10.626967
1,car,889,713,999,800,575.071875,247.56944444444449,646.228125,277.77777777777777,91.42616271972656,10.626967
1,car,1577,752,1711,859,1020.121875,261.1111111111111,1106.803125,298.2638888888889,38.723907470703125,10.626967
1,car,1790,718,1918,978,1157.90625,249.3055555555556,1240.70625,339.5833333333333,13.429853439331056,10.626967
2,car,717,712,796,793,463.809375,247.2222222222222,514.9125,275.34722222222223,105.27779388427734,10.626967
2,car,6,673,317,819,3.88125,233.6805555555556,205.059375,284.375,67.00251770019531,10.626967
2,car,1454,751,1594,837,940.55625,260.7638888888889,1031.11875,290.625,55.63006210327149,10.626967
2,car,1683,722,1883,883,1088.690625,250.69444444444443,1218.065625,306.59722222222223,26.73510360717773,10.626967
2,car,602,709,751,814,389.41875,246.1805555555556,485.803125,282.63888888888886,71.19951629638672,10.626967
2,car,889,713,999,800,575.071875,247.56944444444449,646.228125,277.77777777777777,91.42616271972656,10.626967
2,car,1578,753,1710,858,1020.76875,261.4583333333333,1106.15625,297.91666666666663,39.88834762573242,10.626967
2,car,1790,718,1918,978,1157.90625,249.3055555555556,1240.70625,339.5833333333333,13.429853439331056,10.626967
3,car,716,715,794,792,463.1625,248.2638888888889,513.61875,275.0,112.1158218383789,9.668069
3,car,1831,729,1917,990,1184.428125,253.12500000000003,1240.059375,343.75,12.543794631958008,9.668069
3,car,1,676,309,826,0.646875,234.7222222222222,199.884375,286.80555555555554,65.0677261352539,9.668069
3,car,891,715,999,801,576.365625,248.2638888888889,646.228125,278.125,92.8822250366211,9.668069
3,car,1462,748,1599,838,945.73125,259.72222222222223,1034.353125,290.97222222222223,53.38790130615234,9.668069
3,car,600,708,750,816,388.125,245.8333333333333,485.15625,283.3333333333333,70.5329818725586,9.668069
3,car,1699,721,1913,890,1099.040625,250.34722222222223,1237.471875,309.02777777777777,25.194034576416016,9.668069
3,car,1586,756,1720,861,1025.94375,262.5,1112.625,298.95833333333337,38.47353744506836,9.668069
4,car,717,715,795,792,463.809375,248.2638888888889,514.265625,275.0,112.17156219482422,7.873131
4,car,0,675,302,818,0.0,234.375,195.35625,284.02777777777777,67.02078247070312,7.873131
4,car,599,708,746,818,387.478125,245.8333333333333,482.56875,284.02777777777777,69.18898010253906,7.873131
4,car,888,715,1002,806,574.4250000000001,248.2638888888889,648.1687499999999,279.86111111111114,82.5580825805664,7.873131
4,car,1465,751,1602,837,947.671875,260.7638888888889,1036.29375,290.625,55.803497314453125,7.873131
4,car,1712,718,1920,902,1107.45,249.3055555555556,1242.0,313.1944444444444,22.559171676635746,7.873131
4,car,1593,756,1725,862,1030.471875,262.5,1115.859375,299.30555555555554,37.87077713012695,7.873131
5,car,3,671,300,830,1.940625,232.9861111111112,194.0625,288.19444444444446,65.37627410888672,7.873131
5,car,595,711,749,818,384.890625,246.875,484.509375,284.02777777777777,68.3409423828125,7.873131
5,car,1466,749,1609,840,948.31875,260.06944444444446,1040.821875,291.6666666666667,51.61820602416992,7.873131
5,car,887,718,1002,806,573.778125,249.3055555555556,648.1687499999999,279.86111111111114,85.26233673095703,7.873131
5,car,1600,753,1733,865,1035.0,261.4583333333333,1121.034375,300.34722222222223,36.80435180664063,7.873131
5,car,1717,716,1920,912,1110.684375,248.61111111111111,1242.0,316.6666666666667,21.08501243591309,7.873131
6,car,711,713,793,798,459.928125,247.56944444444449,512.971875,277.08333333333337,95.9089584350586,7.4031267
6,car,0,671,292,832,0.0,232.9861111111112,188.8875,288.8888888888889,64.12494659423828,7.4031267
6,car,591,711,746,818,382.303125,246.875,482.56875,284.02777777777777,68.25828552246094,7.4031267
6,car,1604,753,1744,868,1037.5875,261.4583333333333,1128.15,301.3888888888889,35.710540771484375,7.4031267
6,car,888,716,1002,805,574.4250000000001,248.61111111111111,648.1687499999999,279.51388888888886,85.33674621582031,7.4031267
6,car,1466,751,1616,842,948.31875,260.7638888888889,1045.35,292.36111111111114,50.72458267211914,7.4031267
6,car,1723,727,1917,906,1114.565625,252.4305555555556,1240.059375,314.5833333333333,22.01643943786621,7.4031267
7,car,710,714,795,800,459.28125,247.91666666666663,514.265625,277.77777777777777,92.61091613769533,6.828554
7,car,0,671,277,835,0.0,232.9861111111112,179.184375,289.93055555555554,62.66546249389648,6.828554
7,car,589,710,751,820,381.009375,246.5277777777778,485.803125,284.72222222222223,66.81414031982422,6.828554
7,car,1609,751,1760,867,1040.821875,260.7638888888889,1138.5,301.0416666666667,35.84459686279297,6.828554
7,car,1727,727,1918,908,1117.153125,252.4305555555556,1240.70625,315.27777777777777,21.740447998046875,6.828554
7,car,888,716,1002,806,574.4250000000001,248.61111111111111,648.1687499999999,279.86111111111114,83.19477844238281,6.828554
7,car,1467,755,1625,844,948.965625,262.15277777777777,1051.171875,293.05555555555554,50.26219177246094,6.828554
8,car,710,714,793,801,459.28125,247.91666666666663,512.971875,278.125,90.96683502197266,8.084416
8,car,0,674,276,835,0.0,234.0277777777778,178.5375,289.93055555555554,61.58980178833008,8.084416
8,car,587,709,746,820,379.715625,246.1805555555556,482.56875,284.72222222222223,67.06097412109375,8.084416
8,car,889,717,1006,805,575.071875,248.9583333333333,650.7562499999999,279.51388888888886,86.50604248046875,8.084416
8,car,1740,722,1918,910,1125.5625,250.69444444444443,1240.70625,315.97222222222223,21.09547996520996,8.084416
8,car,1617,755,1765,867,1045.996875,262.15277777777777,1141.734375,301.0416666666667,36.34636306762695,8.084416
8,car,1477,750,1629,843,955.434375,260.4166666666667,1053.759375,292.7083333333333,49.88404846191406,8.084416
9,car,705,711,792,803,456.046875,246.875,512.3249999999999,278.8194444444444,84.97647094726562,8.152009
9,car,0,675,270,836,0.0,234.375,174.65625,290.27777777777777,60.42083358764648,8.152009
9,car,583,709,746,821,377.128125,246.1805555555556,482.56875,285.06944444444446,65.79106903076172,8.152009
9,car,1751,723,1918,912,1132.678125,251.04166666666663,1240.70625,316.6666666666667,20.702417373657227,8.152009
9,car,891,719,1001,804,576.365625,249.65277777777777,647.521875,279.1666666666667,92.46466064453124,8.152009
9,car,1622,754,1774,871,1049.23125,261.80555555555554,1147.55625,302.43055555555554,34.85892105102539,8.152009
9,car,1479,751,1637,845,956.728125,260.7638888888889,1058.934375,293.40277777777777,48.791595458984375,8.152009
10,car,703,712,792,804,454.753125,247.2222222222222,512.3249999999999,279.1666666666667,83.89447784423828,6.559457
10,car,0,673,266,837,0.0,233.6805555555556,172.06875000000002,290.625,60.59220886230469,6.559457
10,car,1761,723,1917,914,1139.146875,251.04166666666663,1240.059375,317.36111111111114,20.312746047973636,6.559457
10,car,890,718,1004,807,575.71875,249.3055555555556,649.4625000000001,280.2083333333333,82.49478149414062,6.559457
10,car,1629,756,1780,872,1053.759375,262.5,1151.4375,302.77777777777777,34.85901641845703,6.559457
10,car,574,712,739,825,371.30625,247.2222222222222,478.040625,286.4583333333333,60.03170394897461,6.559457
10,car,1486,752,1641,846,961.25625,261.1111111111111,1061.521875,293.75,48.56037521362305,6.559457
11,car,702,713,790,804,454.10625,247.56944444444449,511.03125,279.1666666666667,84.7497329711914,6.1181226
11,car,0,668,261,841,0.0,231.94444444444443,168.834375,292.01388888888886,57.13469696044922,6.1181226
11,car,1640,756,1795,873,1060.875,262.5,1161.140625,303.125,34.541648864746094,6.1181226
11,car,578,707,739,825,373.89375,245.48611111111111,478.040625,286.4583333333333,61.220001220703125,6.1181226
